"Year","Month","LGA","JFK"
2003,1,768496,621399
2003,2,709180,568540
2003,3,834533,667845
2003,4,893967,663250
2003,5,938076,642524
2003,6,958080,673732
2003,7,1006841,812152
2003,8,1008678,788365
2003,9,810992,588379
2003,10,976285,693828
2003,11,935615,675247
2003,12,953505,773956
2004,1,769545,690145
2004,2,826512,692862
2004,3,947447,796897
2004,4,1030478,847346
2004,5,984105,800658
2004,6,1021336,862122
2004,7,1038569,995869
2004,8,1069012,1004811
2004,9,873189,717881
2004,10,1031534,855339
2004,11,1012148,826229
2004,12,1035878,891376
2005,1,868025,808722
2005,2,877549,776136
2005,3,1044647,955440
2005,4,1084323,933765
2005,5,1086325,899456
2005,6,1089183,947863
2005,7,1118318,1111863
2005,8,1108851,1072926
2005,9,945121,775953
2005,10,971427,829913
2005,11,1005552,890132
2005,12,1019433,925739
2006,1,889166,848899
2006,2,856042,773149
2006,3,1058283,948653
2006,4,1078388,955169
2006,5,1079928,870453
2006,6,1111257,943149
2006,7,1103706,1105676
2006,8,1103506,1086334
2006,9,909989,844020
2006,10,1013227,988603
2006,11,1008155,991399
2006,12,997736,1036237
2007,1,870327,955506
2007,2,818658,833932
2007,3,1007872,1083416
2007,4,1033824,1075930
2007,5,1060528,1092079
2007,6,1057646,1110430
2007,7,1096801,1231490
2007,8,1143378,1228913
2007,9,905268,959361
2007,10,1006727,1052152
2007,11,976253,1032271
2007,12,919370,1033487
2008,1,814214,950531
2008,2,798776,900436
2008,3,951548,1089610
2008,4,954223,1065183
2008,5,987206,1082969
2008,6,973233,1125329
2008,7,1045667,1265201
2008,8,1035421,1213087
2008,9,813381,926730
2008,10,910205,1003129
2008,11,813225,945824
2008,12,881210,1020675
2009,1,685918,883040
2009,2,680547,833411
2009,3,824146,997754
2009,4,879022,1023165
2009,5,877073,1040946
2009,6,914185,1066992
2009,7,1034808,1204037
2009,8,1033025,1180984
2009,9,865401,902535
2009,10,948857,973578
2009,11,896590,907580
2009,12,911596,966276
2010,1,753879,852302
2010,2,689459,751583
2010,3,962352,985765
2010,4,975850,915337
2010,5,1013093,966020
2010,6,1015933,993110
2010,7,1066327,1135253
2010,8,1099737,1107625
2010,9,939885,920603
2010,10,1037748,1015697
2010,11,969356,952443
2010,12,928146,951972
2011,1,777171,860442
2011,2,747344,806026
2011,3,945079,1009912
2011,4,970037,997188
2011,5,1023997,1027829
2011,6,1029592,1041455
2011,7,1067331,1180319
2011,8,1045938,1084316
2011,9,921129,935908
2011,10,993143,1003955
2011,11,963731,961813
2011,12,960583,970460
2012,1,809313,900373
2012,2,794891,855643
2012,3,965765,1052672
2012,4,1036629,1009278
2012,5,1061869,1018812
2012,6,1056572,1064923
2012,7,1125493,1167626
2012,8,1195265,1158267
2012,9,979647,945990
2012,10,1031281,964615
2012,11,956994,940325
2012,12,1054724,1010049
2013,1,916970,937083
2013,2,847033,823324
2013,3,1093938,1046602
2013,4,1038782,943975
2013,5,1095281,1016442
2013,6,1091153,1046564
2013,7,1139522,1151275
2013,8,1172878,1136472
2013,9,957270,920954
2013,10,1088324,1003247
2013,11,980035,904169
2013,12,1096456,1038037
2014,1,874070,866387
2014,2,793824,807612
2014,3,1046360,1010959
2014,4,1091353,1045589
2014,5,1122697,1081282
2014,6,1115340,1097910
2014,7,1168189,1208117
2014,8,1173474,1201407
2014,9,977207,978965
2014,10,1105269,1087714
2014,11,1014868,981717
2014,12,1124994,1098969
2015,1,856233,941285
2015,2,859733,876661
2015,3,1093517,1075427
2015,4,1133232,1088856
2015,5,1160253,1141202
2015,6,1190178,1159556
2015,7,1269970,1271834
2015,8,1258173,1245569
2015,9,1077285,1019901
2015,10,1207247,1143591
2015,11,1116376,1043124
2015,12,1159015,1129645
2016,1,952412,984000
2016,2,940003,966301
2016,3,1194997,1165379
2016,4,1179402,1124187
2016,5,1223579,1154146
2016,6,1250835,1216211
2016,7,1251950,1285653
2016,8,1236943,1236095
2016,9,1083869,1032095
2016,10,1167033,1119211
2016,11,1133983,1074599
2016,12,1134117,1144559
2017,1,950587,1050476
2017,2,859324,939108
2017,3,1113394,1140353
2017,4,1132123,1133813
2017,5,1185963,1154409
2017,6,1203532,1202408
2017,7,1211407,1265132
2017,8,1241801,1256698
2017,9,1050762,1004018
2017,10,1234005,1107668
2017,11,1174131,1063833
2017,12,1171000,1113334
2018,1,955257,977889
2018,2,930804,958839
2018,3,1144868,1161846
2018,4,1167189,1143601
2018,5,1234680,1211112
2018,6,1272594,1258990
2018,7,1290784,1356877
2018,8,1287638,1328917
2018,9,1058819,1084263
2018,10,1229245,1205626
2018,11,1183823,1144410
2018,12,1185565,1196226
2019,1,961578,1067908
2019,2,933528,996557
2019,3,1170744,1219513
2019,4,1220086,1197290
2019,5,1281516,1235854
2019,6,1281659,1253067
2019,7,1325201,1305703
2019,8,1317271,1280565
2019,9,1131644,1106949
2019,10,1229716,1181898
2019,11,1147513,1090344
2019,12,1269004,1221779
