,Simulations,Results
0,10,40.0
1,1020,42.94
2,2030,42.22
3,3040,41.41
4,4050,42.59
5,5060,41.5
6,6070,41.09
7,7080,42.22
8,8090,40.59
9,9100,41.36
10,10110,41.55
11,11120,42.19
12,12130,41.77
13,13140,41.86
14,14150,41.5
15,15160,42.45
16,16170,41.06
17,17180,41.94
18,18190,41.62
19,19200,42.14
20,20210,41.89
21,21220,41.72
22,22230,41.78
23,23240,41.39
24,24250,42.02
25,25260,41.84
26,26270,41.99
27,27280,41.59
28,28290,41.86
29,29300,41.58
30,30310,41.66
31,31320,42.44
32,32330,42.02
33,33340,41.78
34,34350,41.97
35,35360,41.86
36,36370,42.06
37,37380,41.6
38,38390,41.99
39,39400,41.85
40,40410,41.65
41,41420,41.57
42,42430,41.5
43,43440,41.54
44,44450,41.62
45,45460,41.39
46,46470,41.55
47,47480,41.86
48,48490,41.52
49,49500,41.93
50,50510,41.37
51,51520,42.08
52,52530,41.46
53,53540,41.74
54,54550,41.59
55,55560,41.72
56,56570,41.7
57,57580,41.66
58,58590,42.02
59,59600,41.93
60,60610,41.54
61,61620,41.88
62,62630,41.88
63,63640,41.83
64,64650,41.84
65,65660,41.64
66,66670,41.78
67,67680,41.84
68,68690,41.94
69,69700,41.78
70,70710,42.01
71,71720,41.81
72,72730,41.76
73,73740,42.09
74,74750,42.02
75,75760,41.58
76,76770,41.95
77,77780,41.65
78,78790,41.57
79,79800,41.85
80,80810,41.71
81,81820,42.07
82,82830,41.7
83,83840,42.11
84,84850,42.04
85,85860,41.73
86,86870,41.83
87,87880,41.95
88,88890,41.95
89,89900,41.56
90,90910,41.88
91,91920,41.71
92,92930,42.07
93,93940,41.64
94,94950,42.01
95,95960,41.7
96,96970,41.8
97,97980,41.88
98,98990,41.75
99,100000,42.1
